Name,Category,Equipment,Primary Muscle,Level,Mechanic
"Behind Head Chest Stretch","stretching","other","chest","expert","isolation"
"Bench Dips","strength","body only","triceps","beginner","compound"
"Bench Jump","plyometrics","body only","quadriceps","intermediate","compound"
"Bench Press - Powerlifting","powerlifting","barbell","triceps","intermediate","compound"
"Bench Press - With Bands","strength","bands","chest","beginner","compound"
"Bench Press with Chains","powerlifting","barbell","triceps","expert","compound"
"Bench Sprint","plyometrics","other","quadriceps","beginner","compound"
"Bent-Arm Barbell Pullover","strength","barbell","lats","intermediate","compound"
"Bent-Arm Dumbbell Pullover","strength","dumbbell","chest","intermediate","compound"
"Bent-Knee Hip Raise","strength","body only","abdominals","beginner","compound"
"Bent Over Barbell Row","strength","barbell","middle back","beginner","compound"
"Bent Over Dumbbell Rear Delt Raise With Head On Bench","strength","dumbbell","shoulders","beginner","isolation"
"Bent Over Low-Pulley Side Lateral","strength","cable","shoulders","beginner","isolation"
"Bent Over One-Arm Long Bar Row","strength","barbell","middle back","beginner","compound"
"Bent Over Two-Arm Long Bar Row","strength","barbell","middle back","intermediate","compound"
"Bent Over Two-Dumbbell Row","strength","dumbbell","middle back","beginner","compound"
"Bent Over Two-Dumbbell Row With Palms In","strength","dumbbell","middle back","beginner","compound"
"Bent Press","strength","kettlebells","abdominals","expert","compound"
"Bicycling","cardio","other","quadriceps","beginner",""
"Bicycling, Stationary","cardio","machine","quadriceps","beginner",""
"Board Press","powerlifting","barbell","triceps","intermediate","compound"
"Body-Up","strength","body only","triceps","intermediate","isolation"
"Body Tricep Press","strength","body only","triceps","beginner","isolation"
"Bodyweight Flyes","strength","e-z curl bar","chest","intermediate","isolation"
"Bodyweight Mid Row","strength","other","middle back","intermediate","compound"
"Bodyweight Squat","strength","body only","quadriceps","beginner","compound"
"Bodyweight Walking Lunge","strength","","quadriceps","beginner","compound"
"Bosu Ball Cable Crunch With Side Bends","strength","cable","abdominals","beginner","isolation"
"Bottoms-Up Clean From The Hang Position","strength","kettlebells","forearms","intermediate","compound"
"Bottoms Up","strength","body only","abdominals","beginner","compound"
"Box Jump (Multiple Response)","plyometrics","other","hamstrings","beginner","compound"
"Box Skip","plyometrics","other","hamstrings","beginner","compound"
"Box Squat","powerlifting","barbell","quadriceps","intermediate","compound"
"Box Squat with Bands","powerlifting","barbell","quadriceps","expert","compound"
"Box Squat with Chains","strength","barbell","quadriceps","expert","compound"
"Brachialis-SMR","stretching","foam roll","biceps","intermediate",""
"Bradford/Rocky Presses","strength","barbell","shoulders","beginner","compound"
"Butt-Ups","strength","body only","abdominals","beginner","compound"
"Butt Lift (Bridge)","strength","body only","glutes","beginner","isolation"
"Butterfly","strength","machine","chest","beginner","isolation"
"Cable Chest Press","strength","cable","chest","beginner","compound"
"Cable Crossover","strength","cable","chest","beginner","isolation"
"Cable Crunch","strength","cable","abdominals","beginner","isolation"
"Cable Deadlifts","strength","cable","quadriceps","beginner","compound"
"Cable Hammer Curls - Rope Attachment","strength","cable","biceps","beginner","isolation"
"Cable Hip Adduction","strength","cable","quadriceps","beginner","isolation"
"Cable Incline Pushdown","strength","cable","lats","beginner","isolation"
"Cable Incline Triceps Extension","strength","cable","triceps","beginner","isolation"
"Cable Internal Rotation","strength","cable","shoulders","beginner","compound"
"Cable Iron Cross","strength","cable","chest","beginner","isolation"
"Cable Judo Flip","strength","cable","abdominals","beginner","compound"
"Cable Lying Triceps Extension","strength","cable","triceps","beginner","isolation"
"Cable One Arm Tricep Extension","strength","cable","triceps","beginner","isolation"
"Cable Preacher Curl","strength","cable","biceps","beginner","isolation"
"Cable Rear Delt Fly","strength","cable","shoulders","beginner","isolation"
"Cable Reverse Crunch","strength","cable","abdominals","beginner","isolation"
"Cable Rope Overhead Triceps Extension","strength","cable","triceps","beginner","isolation"
"Cable Rope Rear-Delt Rows","strength","cable","shoulders","beginner","compound"
"Cable Russian Twists","strength","cable","abdominals","beginner","compound"
"Cable Seated Crunch","strength","cable","abdominals","beginner","isolation"
"Cable Seated Lateral Raise","strength","cable","shoulders","beginner","isolation"
"Cable Shoulder Press","strength","cable","shoulders","beginner","compound"
"Cable Shrugs","strength","cable","traps","beginner","isolation"
"Cable Wrist Curl","strength","cable","forearms","beginner","isolation"
"Calf-Machine Shoulder Shrug","strength","machine","traps","beginner","isolation"
"Calf Press","strength","machine","calves","beginner","isolation"
"Calf Press On The Leg Press Machine","strength","machine","calves","beginner","isolation"
"Calf Raise On A Dumbbell","strength","dumbbell","calves","intermediate","isolation"
"Calf Raises - With Bands","strength","bands","calves","beginner","isolation"
"Calf Stretch Elbows Against Wall","stretching","","calves","beginner","isolation"
"Calf Stretch Hands Against Wall","stretching","","calves","beginner","isolation"
"Calves-SMR","stretching","foam roll","calves","intermediate",""
"Car Deadlift","strongman","other","quadriceps","intermediate","compound"
"Car Drivers","strength","barbell","shoulders","beginner","isolation"
"Carioca Quick Step","plyometrics","","adductors","beginner",""
"Cat Stretch","stretching","","lower back","beginner",""
"Catch and Overhead Throw","plyometrics","medicine ball","lats","beginner","compound"
"Chain Handle Extension","powerlifting","other","triceps","intermediate","isolation"
"Chain Press","powerlifting","other","chest","intermediate","compound"
"Chair Leg Extended Stretch","stretching","other","hamstrings","beginner","isolation"
"Chair Lower Back Stretch","stretching","","lats","beginner","isolation"
"Chair Squat","strength","machine","quadriceps","beginner","compound"
"Chair Upper Body Stretch","stretching","other","shoulders","beginner",""
"Chest And Front Of Shoulder Stretch","stretching","other","chest","beginner","isolation"
"Chest Push from 3 point stance","plyometrics","medicine ball","chest","beginner","compound"
"Chest Push (multiple response)","plyometrics","medicine ball","chest","beginner","compound"
"Chest Push (single response)","plyometrics","medicine ball","chest","beginner","compound"
"Chest Push with Run Release","plyometrics","medicine ball","chest","beginner","compound"
"Chest Stretch on Stability Ball","stretching","exercise ball","chest","beginner","isolation"
"Child's Pose","stretching","","lower back","beginner",""
"Chin-Up","strength","body only","lats","beginner","compound"
"Chin To Chest Stretch","stretching","","neck","beginner",""
"Circus Bell","strongman","other","shoulders","expert","compound"
"Clean","olympic weightlifting","barbell","hamstrings","intermediate","compound"
"Clean Deadlift","olympic weightlifting","barbell","hamstrings","beginner","compound"
"Clean Pull","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Clean Shrug","olympic weightlifting","barbell","traps","beginner","compound"
"Clean and Jerk","olympic weightlifting","barbell","shoulders","expert","compound"
"Clean and Press","strength","barbell","shoulders","intermediate","compound"
"Clean from Blocks","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Clock Push-Up","strength","body only","chest","intermediate","compound"
"Close-Grip Barbell Bench Press","strength","barbell","triceps","beginner","compound"
"Close-Grip Dumbbell Press","strength","dumbbell","triceps","beginner","compound"
"Close-Grip EZ-Bar Curl with Band","strength","e-z curl bar","biceps","beginner","isolation"
"Close-Grip EZ-Bar Press","strength","e-z curl bar","triceps","beginner","compound"
"Close-Grip EZ Bar Curl","strength","barbell","biceps","beginner","isolation"
"Close-Grip Front Lat Pulldown","strength","cable","lats","beginner","compound"
"Close-Grip Push-Up off of a Dumbbell","strength","body only","triceps","intermediate","compound"
"Close-Grip Standing Barbell Curl","strength","barbell","biceps","beginner","isolation"
"Cocoons","strength","body only","abdominals","beginner","compound"
"Conan's Wheel","strongman","other","quadriceps","intermediate","compound"
"Concentration Curls","strength","dumbbell","biceps","beginner","isolation"
"Cross-Body Crunch","strength","body only","abdominals","beginner","compound"
"Cross Body Hammer Curl","strength","dumbbell","biceps","beginner","isolation"
"Cross Over - With Bands","strength","bands","chest","beginner","compound"
"Crossover Reverse Lunge","stretching","","lower back","intermediate",""
"Crucifix","strongman","other","shoulders","beginner","isolation"
"Crunch - Hands Overhead","strength","body only","abdominals","beginner","isolation"
"Crunch - Legs On Exercise Ball","strength","body only","abdominals","beginner","isolation"
"Crunches","strength","body only","abdominals","beginner","isolation"
"Cuban Press","strength","dumbbell","shoulders","intermediate","compound"
"Dancer's Stretch","stretching","","lower back","beginner",""
"Dead Bug","strength","body only","abdominals","beginner","compound"
"Deadlift with Bands","powerlifting","barbell","lower back","expert","compound"
"Deadlift with Chains","powerlifting","barbell","lower back","expert","compound"
"Decline Barbell Bench Press","strength","barbell","chest","beginner","compound"
"Decline Close-Grip Bench To Skull Crusher","strength","barbell","triceps","intermediate","compound"
"Decline Crunch","strength","body only","abdominals","intermediate","isolation"
"Decline Dumbbell Bench Press","strength","dumbbell","chest","beginner","compound"
"Decline Dumbbell Flyes","strength","dumbbell","chest","beginner","compound"
"Decline Dumbbell Triceps Extension","strength","dumbbell","triceps","beginner","isolation"
"Decline EZ Bar Triceps Extension","strength","barbell","triceps","beginner","isolation"
"Decline Oblique Crunch","strength","body only","abdominals","beginner","compound"
"Decline Push-Up","strength","","chest","beginner","compound"
"Decline Reverse Crunch","strength","body only","abdominals","beginner","compound"
"Decline Smith Press","strength","machine","chest","beginner","compound"
"Deficit Deadlift","powerlifting","barbell","lower back","intermediate","compound"
"Depth Jump Leap","plyometrics","other","quadriceps","beginner","compound"
"Dip Machine","strength","machine","triceps","beginner","compound"
"Dips - Chest Version","strength","other","chest","intermediate","compound"
"Dips - Triceps Version","strength","body only","triceps","beginner","compound"
"Donkey Calf Raises","strength","other","calves","intermediate","isolation"
"Double Kettlebell Alternating Hang Clean","strength","kettlebells","hamstrings","intermediate","compound"
"Double Kettlebell Jerk","strength","kettlebells","shoulders","intermediate","compound"
"Double Kettlebell Push Press","strength","kettlebells","shoulders","intermediate","compound"
"Double Kettlebell Snatch","strength","kettlebells","shoulders","expert","compound"
"Double Kettlebell Windmill","strength","kettlebells","abdominals","intermediate",""
"Double Leg Butt Kick","plyometrics","body only","quadriceps","beginner","compound"
"Downward Facing Balance","strength","exercise ball","glutes","intermediate","isolation"
"Drag Curl","strength","barbell","biceps","intermediate","compound"
"Drop Push","plyometrics","other","chest","intermediate","compound"
"Dumbbell Alternate Bicep Curl","strength","dumbbell","biceps","beginner","isolation"
"Dumbbell Bench Press","strength","dumbbell","chest","beginner","compound"
"Dumbbell Bench Press with Neutral Grip","strength","dumbbell","chest","beginner","compound"
"Dumbbell Bicep Curl","strength","dumbbell","biceps","beginner","isolation"
"Dumbbell Clean","strength","dumbbell","hamstrings","intermediate","compound"
"Dumbbell Floor Press","powerlifting","dumbbell","triceps","intermediate","compound"
"Dumbbell Flyes","strength","dumbbell","chest","beginner","isolation"
"Dumbbell Incline Row","strength","dumbbell","middle back","beginner","compound"
"Dumbbell Incline Shoulder Raise","strength","dumbbell","shoulders","beginner","isolation"
"Dumbbell Lunges","strength","dumbbell","quadriceps","beginner","compound"
"Dumbbell Lying One-Arm Rear Lateral Raise","strength","dumbbell","shoulders","intermediate","isolation"
"Dumbbell Lying Pronation","strength","dumbbell","forearms","intermediate","isolation"
"Dumbbell Lying Rear Lateral Raise","strength","dumbbell","shoulders","intermediate","isolation"
"Dumbbell Lying Supination","strength","dumbbell","forearms","intermediate","isolation"
"Dumbbell One-Arm Shoulder Press","strength","dumbbell","shoulders","intermediate","compound"
"Dumbbell One-Arm Triceps Extension","strength","dumbbell","triceps","intermediate","isolation"
"Dumbbell One-Arm Upright Row","strength","dumbbell","shoulders","intermediate","compound"
"Dumbbell Prone Incline Curl","strength","dumbbell","biceps","intermediate","isolation"
"Dumbbell Raise","strength","dumbbell","shoulders","beginner","compound"
"Dumbbell Rear Lunge","strength","dumbbell","quadriceps","intermediate","compound"
"Dumbbell Scaption","strength","dumbbell","shoulders","beginner","isolation"
"Dumbbell Seated Box Jump","plyometrics","dumbbell","quadriceps","intermediate","compound"
"Dumbbell Seated One-Leg Calf Raise","strength","dumbbell","calves","beginner","isolation"
"Dumbbell Shoulder Press","strength","dumbbell","shoulders","intermediate","compound"
"Dumbbell Shrug","strength","dumbbell","traps","beginner","isolation"
"Dumbbell Side Bend","strength","dumbbell","abdominals","beginner","isolation"
"Dumbbell Squat","strength","dumbbell","quadriceps","beginner","compound"
"Dumbbell Squat To A Bench","strength","dumbbell","quadriceps","intermediate","compound"
"Dumbbell Step Ups","strength","dumbbell","quadriceps","intermediate","compound"
"Dumbbell Tricep Extension -Pronated Grip","strength","dumbbell","triceps","beginner","isolation"
"Dynamic Back Stretch","stretching","","lats","beginner",""
"Dynamic Chest Stretch","stretching","","chest","beginner",""
"EZ-Bar Curl","strength","e-z curl bar","biceps","beginner","isolation"
"EZ-Bar Skullcrusher","strength","e-z curl bar","triceps","beginner","isolation"
"Elbow Circles","stretching","","shoulders","beginner","isolation"
"Elbow to Knee","strength","body only","abdominals","beginner","compound"
"Elbows Back","stretching","","chest","beginner","isolation"
"Elevated Back Lunge","strength","barbell","quadriceps","intermediate","compound"
"Elevated Cable Rows","strength","cable","lats","intermediate","compound"
"Elliptical Trainer","cardio","machine","quadriceps","intermediate",""
"Exercise Ball Crunch","strength","exercise ball","abdominals","beginner","isolation"
"Exercise Ball Pull-In","strength","exercise ball","abdominals","beginner","compound"
"Extended Range One-Arm Kettlebell Floor Press","strength","kettlebells","chest","beginner","compound"
"External Rotation","strength","dumbbell","shoulders","beginner","isolation"
"External Rotation with Band","strength","bands","shoulders","beginner","compound"
"External Rotation with Cable","strength","cable","shoulders","beginner","isolation"
"Face Pull","strength","cable","shoulders","intermediate","compound"
"Farmer's Walk","strongman","other","forearms","intermediate","compound"
"Fast Skipping","plyometrics","body only","quadriceps","beginner","compound"
"Finger Curls","strength","barbell","forearms","beginner","isolation"
"Flat Bench Cable Flyes","strength","cable","chest","intermediate","isolation"
"Flat Bench Leg Pull-In","strength","body only","abdominals","beginner","compound"
"Flat Bench Lying Leg Raise","strength","body only","abdominals","beginner","isolation"
"Flexor Incline Dumbbell Curls","strength","dumbbell","biceps","beginner","isolation"
"Floor Glute-Ham Raise","strength","","hamstrings","intermediate","isolation"
"Floor Press","powerlifting","barbell","triceps","intermediate","compound"
"Floor Press with Chains","powerlifting","barbell","triceps","intermediate","compound"
"Flutter Kicks","strength","body only","glutes","beginner","compound"
"Foot-SMR","stretching","other","calves","intermediate",""
"Forward Drag with Press","strongman","other","chest","intermediate","compound"
"Frankenstein Squat","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Freehand Jump Squat","strength","body only","quadriceps","intermediate","compound"
"Frog Hops","stretching","","quadriceps","intermediate","compound"
"Frog Sit-Ups","strength","body only","abdominals","intermediate","isolation"
"Front Barbell Squat","strength","barbell","quadriceps","expert","compound"
"Front Barbell Squat To A Bench","strength","barbell","quadriceps","expert","compound"
"Front Box Jump","plyometrics","other","hamstrings","beginner","compound"
"Front Cable Raise","strength","cable","shoulders","beginner","isolation"
"Front Cone Hops (or hurdle hops)","plyometrics","other","quadriceps","beginner","compound"
"Front Dumbbell Raise","strength","dumbbell","shoulders","beginner","isolation"
"Front Incline Dumbbell Raise","strength","dumbbell","shoulders","beginner","isolation"
"Front Leg Raises","stretching","body only","hamstrings","beginner",""
"Front Plate Raise","strength","other","shoulders","intermediate","isolation"
"Front Raise And Pullover","strength","barbell","chest","beginner","compound"
"Front Squat (Clean Grip)","strength","barbell","quadriceps","intermediate","compound"
"Front Squats With Two Kettlebells","strength","kettlebells","quadriceps","intermediate","compound"
"Front Two-Dumbbell Raise","strength","dumbbell","shoulders","beginner","isolation"
"Full Range-Of-Motion Lat Pulldown","strength","cable","lats","intermediate","compound"
"Gironda Sternum Chins","strength","other","lats","intermediate","compound"
"Glute Ham Raise","powerlifting","machine","hamstrings","intermediate","compound"
"Glute Kickback","strength","body only","glutes","beginner","compound"
"Goblet Squat","strength","kettlebells","quadriceps","beginner","compound"
"Good Morning","powerlifting","barbell","hamstrings","intermediate","compound"
"Good Morning off Pins","powerlifting","barbell","hamstrings","intermediate","compound"
"Gorilla Chin/Crunch","strength","body only","abdominals","intermediate","compound"
"Groin and Back Stretch","stretching","","adductors","intermediate","compound"
"Groiners","stretching","body only","adductors","intermediate","compound"
"Hack Squat","strength","machine","quadriceps","beginner","compound"
"Hammer Curls","strength","dumbbell","biceps","beginner","isolation"
"Hammer Grip Incline DB Bench Press","strength","dumbbell","chest","beginner","compound"
"Hamstring-SMR","stretching","foam roll","hamstrings","beginner","isolation"
"Hamstring Stretch","stretching","","hamstrings","beginner","isolation"
"Handstand Push-Ups","strength","body only","shoulders","expert","compound"
"Hang Clean","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Hang Clean - Below the Knees","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Hang Snatch","olympic weightlifting","barbell","hamstrings","expert","compound"
"Hang Snatch - Below Knees","olympic weightlifting","barbell","hamstrings","expert","compound"
"Hanging Bar Good Morning","powerlifting","barbell","hamstrings","intermediate","compound"
"Hanging Leg Raise","strength","body only","abdominals","expert","isolation"
"Hanging Pike","strength","body only","abdominals","expert","compound"
"Heaving Snatch Balance","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Heavy Bag Thrust","plyometrics","other","chest","beginner","compound"
"High Cable Curls","strength","cable","biceps","intermediate","compound"
"Hip Circles (prone)","stretching","body only","abductors","beginner","isolation"
"Hip Extension with Bands","strength","bands","glutes","beginner","compound"
"Hip Flexion with Band","strength","bands","quadriceps","beginner","compound"
"Hip Lift with Band","powerlifting","bands","glutes","beginner","compound"
"Hug A Ball","stretching","exercise ball","lower back","beginner","isolation"
"Hug Knees To Chest","stretching","","lower back","beginner",""
"Hurdle Hops","plyometrics","other","hamstrings","beginner","compound"
"Hyperextensions (Back Extensions)","strength","other","lower back","beginner","isolation"
"Hyperextensions With No Hyperextension Bench","strength","body only","lower back","intermediate","compound"
"IT Band and Glute Stretch","stretching","other","abductors","intermediate",""
"Iliotibial Tract-SMR","stretching","foam roll","abductors","intermediate","isolation"
"Inchworm","stretching","body only","hamstrings","beginner","compound"
"Incline Barbell Triceps Extension","strength","barbell","triceps","intermediate","isolation"
"Incline Bench Pull","strength","barbell","middle back","beginner","isolation"
"Incline Cable Chest Press","strength","cable","chest","beginner","compound"
"Incline Cable Flye","strength","cable","chest","intermediate","isolation"
"Incline Dumbbell Bench With Palms Facing In","strength","dumbbell","chest","beginner","compound"
"Incline Dumbbell Curl","strength","dumbbell","biceps","beginner","isolation"
"Incline Dumbbell Flyes","strength","dumbbell","chest","beginner","compound"
"Incline Dumbbell Flyes - With A Twist","strength","dumbbell","chest","beginner","compound"
"Incline Dumbbell Press","strength","dumbbell","chest","beginner","compound"
"Incline Hammer Curls","strength","dumbbell","biceps","beginner","isolation"
"Incline Inner Biceps Curl","strength","dumbbell","biceps","beginner","isolation"
"Incline Push-Up","strength","body only","chest","beginner","compound"
"Incline Push-Up Close-Grip","strength","body only","triceps","beginner","compound"
"Incline Push-Up Depth Jump","plyometrics","other","chest","beginner","compound"
"Incline Push-Up Medium","strength","body only","chest","beginner","compound"
"Incline Push-Up Reverse Grip","strength","body only","chest","beginner","compound"
"Incline Push-Up Wide","strength","body only","chest","beginner","compound"
"Intermediate Groin Stretch","stretching","other","hamstrings","intermediate","isolation"
"Intermediate Hip Flexor and Quad Stretch","stretching","other","quadriceps","intermediate","compound"
"Internal Rotation with Band","strength","bands","shoulders","beginner","isolation"
"Inverted Row","strength","","middle back","beginner","compound"
"Inverted Row with Straps","strength","other","middle back","beginner","compound"
"Iron Cross","strength","dumbbell","shoulders","intermediate","compound"
"Iron Crosses (stretch)","stretching","","quadriceps","intermediate","compound"
"Isometric Chest Squeezes","plyometrics","body only","chest","beginner","compound"
"Isometric Neck Exercise - Front And Back","strength","body only","neck","beginner","isolation"
"Isometric Neck Exercise - Sides","strength","body only","neck","beginner","isolation"
"Isometric Wipers","strength","body only","chest","beginner","compound"
"JM Press","strength","barbell","triceps","beginner","compound"
"Jackknife Sit-Up","strength","body only","abdominals","beginner","compound"
"Janda Sit-Up","strength","body only","abdominals","beginner","isolation"
"Jefferson Squats","strength","barbell","quadriceps","intermediate","compound"
"Jerk Balance","olympic weightlifting","barbell","shoulders","intermediate","compound"
"Jerk Dip Squat","olympic weightlifting","barbell","quadriceps","intermediate","compound"
"Jogging, Treadmill","cardio","machine","quadriceps","beginner",""
"Keg Load","strongman","other","lower back","intermediate","compound"
"Kettlebell Arnold Press","strength","kettlebells","shoulders","intermediate","compound"
"Kettlebell Dead Clean","strength","kettlebells","hamstrings","intermediate","compound"
"Kettlebell Figure 8","strength","kettlebells","abdominals","intermediate",""
"Kettlebell Hang Clean","strength","kettlebells","hamstrings","intermediate","compound"
"Kettlebell One-Legged Deadlift","strength","kettlebells","hamstrings","intermediate","compound"
"Kettlebell Pass Between The Legs","strength","kettlebells","abdominals","intermediate","compound"
"Kettlebell Pirate Ships","strength","kettlebells","shoulders","beginner","compound"
"Kettlebell Pistol Squat","strength","kettlebells","quadriceps","expert","compound"
"Kettlebell Seated Press","strength","kettlebells","shoulders","intermediate","compound"
"Kettlebell Seesaw Press","strength","kettlebells","shoulders","intermediate","compound"
"Kettlebell Sumo High Pull","strength","kettlebells","traps","intermediate","compound"
"Kettlebell Thruster","strength","kettlebells","shoulders","intermediate","compound"
"Kettlebell Turkish Get-Up (Lunge style)","strength","kettlebells","shoulders","intermediate","compound"
"Kettlebell Turkish Get-Up (Squat style)","strength","kettlebells","shoulders","intermediate","compound"
"Kettlebell Windmill","strength","kettlebells","abdominals","intermediate","compound"
"Kipping Muscle Up","strength","other","lats","intermediate","compound"
"Knee Across The Body","stretching","","glutes","beginner",""
"Knee Circles","stretching","body only","calves","beginner","compound"
"Knee/Hip Raise On Parallel Bars","strength","other","abdominals","beginner","isolation"
"Knee Tuck Jump","plyometrics","body only","hamstrings","beginner","compound"
"Kneeling Arm Drill","plyometrics","","shoulders","beginner",""
"Kneeling Cable Crunch With Alternating Oblique Twists","strength","cable","abdominals","beginner","isolation"
"Kneeling Cable Triceps Extension","strength","cable","triceps","intermediate","isolation"
"Kneeling Forearm Stretch","stretching","","forearms","beginner","isolation"
"Kneeling High Pulley Row","strength","cable","lats","beginner","compound"
"Kneeling Hip Flexor","stretching","","quadriceps","beginner","isolation"
"Kneeling Jump Squat","olympic weightlifting","barbell","glutes","expert","compound"
"Kneeling Single-Arm High Pulley Row","strength","cable","lats","beginner","compound"
"Kneeling Squat","powerlifting","barbell","glutes","intermediate","compound"
"Landmine 180's","strength","barbell","abdominals","beginner","compound"
"Landmine Linear Jammer","strength","barbell","shoulders","intermediate","compound"
"Lateral Bound","plyometrics","body only","adductors","beginner","compound"
"Lateral Box Jump","plyometrics","other","adductors","beginner","compound"
"Lateral Cone Hops","plyometrics","other","adductors","beginner","compound"
"Lateral Raise - With Bands","strength","bands","shoulders","beginner","isolation"
"Latissimus Dorsi-SMR","stretching","foam roll","lats","beginner","isolation"
"Leg-Over Floor Press","strength","kettlebells","chest","intermediate","compound"
"Leg-Up Hamstring Stretch","stretching","","hamstrings","beginner","isolation"
"Leg Extensions","strength","machine","quadriceps","beginner","isolation"
"Leg Lift","strength","body only","glutes","beginner","isolation"
"Leg Press","strength","machine","quadriceps","beginner","compound"
"Leg Pull-In","strength","body only","abdominals","beginner","compound"
"Leverage Chest Press","strength","machine","chest","beginner","compound"
"Leverage Deadlift","strength","machine","quadriceps","beginner","compound"
"Leverage Decline Chest Press","strength","machine","chest","beginner","compound"
"Leverage High Row","strength","machine","middle back","beginner","compound"
